Id,Distance,StationFromUid,StationToUid,Time
93357,17297,2585259,2585856,3416
93358,8636,2585259,3318688,1586
93359,8830,2585259,3318744,1698
93360,2199,2585469,2585766,656
93361,778,2585469,2585472,213
93362,718,2585469,2585473,282
93363,2075,2585469,2585476,453
93364,1120,2585469,2585477,325
93365,1354,2585469,2585492,391
93366,2482,2585469,2585684,511
93367,1873,2585469,2585694,525
93368,2701,2585469,2585695,525
93369,2945,2585469,2585699,572
93370,3496,2585469,2585704,664
93371,19579,2585469,6926354,3997
93372,2199,2585469,2585708,519
93373,3037,2585469,2585711,677
93374,2815,2585469,2585712,584
93375,2392,2585469,2585714,586
93376,580,2585469,2585470,210
93377,19582,2585469,6950077,3998
93378,13659,2585714,2586028,2880
93379,2958,2585714,2585729,717
93380,1165,2585714,2585749,324
93381,3054,2585714,2585731,731
93382,3109,2585714,2585735,754
93383,3148,2585714,2585737,804
93384,3703,2585714,2585738,958
93385,3669,2585714,2585742,862
93386,4928,2585714,2585747,1112
93387,5548,2585714,2585748,1146
93388,4961,2585714,2585800,1189
93389,2711,2585714,2585727,661
93390,5267,2585714,2585802,1184
93391,10992,2585714,2586045,2280
93392,9528,2585714,2586011,2068
93393,8034,2585714,2586012,1665
93394,6686,2585714,2586014,1409
93395,7878,2585714,2586018,1635
93396,9035,2585714,2586019,1918
93397,7795,2585714,2586021,1450
93398,5831,2585714,2586022,1075
93399,6685,2585714,2586024,1230
93400,11296,2585714,2586026,2378
93401,7109,2585714,2585804,1544
93402,2180,2585714,2585724,602
93403,8053,2585278,2585996,1591
93404,9772,2585278,2586032,2007
93405,12493,2585278,2586034,2570
93406,10050,2585278,2586037,2041
93407,11402,2585278,2586039,2275
93408,12189,2585278,2586042,2482
93409,9140,2585278,2586009,1938
93410,8210,2585278,2586005,1759
93411,7343,2585278,2586003,1487
93412,5819,2585278,2585985,1190
93413,6037,2585278,2585974,1340
93414,7139,2585278,2586031,1425
93415,5685,2585278,2585975,1254
93416,6134,2585278,2585981,1208
93417,5722,2585278,2585982,1307
93418,6206,2585278,2585983,1388
93419,5890,2585278,2585984,1255
93420,5857,2585278,2585987,1147
93421,7160,2585278,2586001,1471
93422,6473,2585278,2585990,1315
93423,6907,2585278,2585992,1415
93424,7366,2585278,2585994,1475
93425,7630,2585278,2585995,1577
93426,11028,2585278,2585978,2308
93427,9358,2585278,2586030,1903
93428,6139,2585472,2585956,1227
93429,5188,2585472,2585827,1055
93430,5144,2585472,2585830,1073
93431,5965,2585472,2585835,1269
93432,7126,2585472,2585837,1471
93433,5922,2585472,2585838,1320
93434,7353,2585472,2585839,1549
93435,6750,2585472,2585843,1413
93436,10450,2585472,2585899,2129
93437,12393,2585472,2585902,2455
93438,5635,2585472,2585967,1194
93439,8567,2585472,2585844,1794
93440,13425,2585472,2585904,2688
93441,10200,2585472,2585938,2015
93442,8909,2585472,2585939,1750
93443,8285,2585472,2585942,1721
93444,7060,2585472,2585943,1473
93445,6891,2585472,2585945,1450
93446,7261,2585472,2585947,1514
93447,7394,2585472,2585951,1534
93448,8673,2585472,2585953,1756
93449,6728,2585472,2585954,1419
93450,5451,2585472,2585955,1078
93451,10202,2585472,2585937,1984
93452,7688,2585472,2585825,1614
93453,15243,2585288,2585860,3357
93454,6190,2585288,2586272,1569
93455,6917,2585288,2675985,1697
93456,3706,2585288,2676298,741
93457,3637,2585288,2685255,684
93458,9224,2585288,2685262,1744
93459,6054,2585288,2685263,1189
93460,8387,2585288,2685269,1866
93461,10608,2585288,3110680,2154
93462,5820,2585288,3318732,1088
93463,6603,2585288,3318614,1240
93464,9140,2585288,2685274,1781
93465,5456,2585288,3318682,1027
93466,7681,2585288,3318697,1556
93467,6739,2585288,3318701,1622
93468,5878,2585288,3318711,1227
93469,5529,2585288,3318717,1349
93470,6008,2585288,2585972,1186
93471,5902,2585288,2585968,1143
93472,15151,2585288,2585807,3066
93473,18295,2585288,2585901,3819
93474,14299,2585288,2585853,3049
93475,14016,2585288,2585856,3042
93476,6239,2585288,3318688,1159
93477,5704,2585288,3318744,1131
93478,11806,2585711,2585956,2356
93479,5854,2585711,2585827,1451
93480,7078,2585711,2585830,1645
93481,8309,2585711,2585835,1835
93482,6181,2585711,2585837,1365
93483,7265,2585711,2585838,1659
93484,9697,2585711,2585839,2116
93485,9093,2585711,2585843,1979
93486,13115,2585711,2585899,2721
93487,12019,2585711,2585902,2521
93488,10945,2585711,2585967,2245
93489,7621,2585711,2585844,1687
93490,12773,2585711,2585904,2690
93491,15866,2585711,2585938,3144
93492,14575,2585711,2585939,2879
93493,13595,2585711,2585942,2773
93494,12727,2585711,2585943,2603
93495,13642,2585711,2585945,2732
93496,14013,2585711,2585947,2797
93497,12704,2585711,2585951,2585
93498,13983,2585711,2585953,2808
93499,12038,2585711,2585954,2471
93500,11118,2585711,2585955,2208
93501,15868,2585711,2585937,3114
93502,3275,2585711,2585825,782
93503,11525,2585259,3454384,2152
93504,16443,2585259,2586044,3154
93505,4537,2585452,2585996,935
93506,4061,2585782,2585821,909
93507,4521,2585452,2586032,967
93508,8637,2585259,2586268,1669
93509,8526,2585259,2585971,1686
93510,9799,2585782,2585871,2093
93511,10167,2585782,2585872,2176
93512,8488,2585259,2586270,1559
93513,6491,2585452,2586034,1437
93514,6653,2585782,2585873,1411
93515,6711,2585782,2585875,1440
93516,18145,2585259,3559966,3587
93517,7945,2585259,4215025,1581
93518,7338,2585782,2585876,1551
93519,7162,2585782,2585880,1510
93520,9183,2585259,4393742,1841
93521,7374,2585782,2585883,1568
93522,8032,2585782,2585885,1670
93523,7142,2585782,2585888,1475
93524,14548,2585259,4585378,3102
93525,8209,2585782,2585893,1681
93526,9317,2585782,2585868,1974
93527,12841,2585259,4729149,2644
93528,9653,2585782,2585894,1952
93529,10869,2585259,4807340,2243
93530,10666,2585259,2586000,2077
93531,5578,2585782,2585850,1190
93532,9720,2585259,4807350,2052
93533,4679,2585782,2585848,996
93534,3940,2585452,2586037,907
93535,7805,2585259,4807395,1693
93536,6672,2585259,4807401,1446
93537,5292,2585452,2586039,1141
93538,4632,2585782,2585846,992
93539,2354,2585782,2585824,544
93540,8470,2585782,2585808,1741
93541,8541,2585782,2585809,1751
93542,7574,2585782,2585811,1627
93543,7457,2585782,2585814,1572
93544,2980,2585782,2585817,663
93545,5324,2585259,4807409,1143
93546,5482,2585782,2585820,1254
93547,8517,2585782,2585897,1783
93548,11937,2585782,2585863,2563
93549,17922,2585259,5291649,3591
93550,16597,2585259,5291656,3295
93551,10759,2585283,2585996,2117
93552,6079,2585452,2586042,1348
93553,23427,2585259,5291665,4665
93554,4177,2585452,2586009,995
93555,3248,2585452,2586005,816
93556,12766,2585283,2586032,2579
93557,15488,2585283,2586034,3143
93558,13044,2585283,2586037,2614
93559,14397,2585283,2586039,2847
93560,15183,2585283,2586042,3055
93561,11846,2585283,2586009,2464
93562,10916,2585283,2586005,2286
93563,24300,2585259,5291667,4790
93564,2380,2585452,2586003,544
93565,24726,2585259,6860417,4922
93566,10049,2585283,2586003,2013
93567,2281,2585452,2585985,455
93568,8813,2585283,2585985,1763
93569,27926,2585259,6903044,5517
93570,2924,2585259,3470029,544
93571,4343,2585452,2585974,890
93572,9016,2585283,2585974,1764
93573,4493,2585452,2586031,983
93574,9537,2585283,2586031,1832
93575,8892,2585259,4807388,1861
93576,9894,2585259,2585997,2069
93577,3893,2585452,2585975,798
93578,2885,2585452,2585981,629
93579,8664,2585283,2585975,1677
93580,8833,2585283,2585981,1785
93581,3562,2585452,2585982,739
93582,4047,2585452,2585983,821
93583,8701,2585283,2585982,1731
93584,9185,2585283,2585983,1812
93585,6716,2585452,2585984,1642
93586,3933,2585283,2585984,941
93587,2617,2585452,2585987,514
93588,8851,2585283,2585987,1720
93589,1937,2585452,2586001,395
93590,10154,2585283,2586001,2044
93591,3001,2585452,2585990,691
93592,9179,2585283,2585990,1841
93593,3230,2585452,2585992,740
93594,9613,2585283,2585992,1941
93595,3515,2585452,2585994,787
93596,10072,2585283,2585994,2001
93597,4474,2585452,2585995,985
93598,10336,2585283,2585995,2103
93599,5025,2585452,2585978,1175
93600,14022,2585283,2585978,2881
93601,3247,2585452,2586030,769
93602,12352,2585283,2586030,2475
93603,11036,2585259,2585996,2193
93604,12778,2585259,2586032,2458
93605,15500,2585259,2586034,3021
93606,13056,2585259,2586037,2492
93607,14409,2585259,2586039,2726
93608,15195,2585259,2586042,2933
93609,12406,2585259,2586009,2522
93610,11477,2585259,2586005,2343
93611,10609,2585259,2586003,2071
93612,8825,2585259,2585985,1641
93613,9399,2585259,2585974,1828
93614,9919,2585259,2586031,1896
93615,9047,2585259,2585975,1742
93616,9236,2585259,2585981,1755
93617,8978,2585259,2585982,1806
93618,9462,2585259,2585983,1888
93619,7152,2585259,2585984,1546
93620,9161,2585259,2585987,1700
93621,10166,2585259,2586001,1922
93622,9456,2585259,2585990,1917
93623,9890,2585259,2585992,2017
93624,10349,2585259,2585994,2077
93625,10613,2585259,2585995,2179
93626,14034,2585259,2585978,2759
93627,12364,2585259,2586030,2354
93628,17299,2585259,2586028,3386
93629,14293,2585278,2586028,2935
93630,8084,2585278,2585349,1714
93631,11351,2585259,2585349,2298
93632,5440,2585278,2585364,1099
93633,8619,2585259,2585364,1664
93634,5651,2585278,2585351,1239
93635,8831,2585259,2585351,1804
93636,5036,2585278,2585352,991
93637,8216,2585259,2585352,1556
93638,5200,2585278,2585353,1023
93639,8380,2585259,2585353,1588
93640,4811,2585278,2585354,958
93641,7991,2585259,2585354,1523
93642,4573,2585278,2585356,967
93643,7752,2585259,2585356,1533
93644,10127,2585278,2585358,2116
93645,8751,2585259,2585358,1857
93646,8682,2585278,2585360,1891
93647,9685,2585259,2585360,2056
93648,9823,2585278,2585800,2190
93649,9099,2585278,2585345,1964
93650,10026,2585278,2585802,2024
93651,11625,2585278,2586045,2336
93652,9873,2585278,2586011,2026
93653,13003,2585259,2585800,2755
93654,7723,2585259,2585345,1704
93655,13128,2585259,2585802,2571
93656,14631,2585259,2586045,2787
93657,13139,2585259,2586011,2610
93658,9536,2585259,2586012,1829
93659,6174,2585278,2586012,1341
93660,10326,2585259,2586014,1915
93661,7320,2585278,2586014,1464
93662,11535,2585259,2586018,2154
93663,8529,2585278,2586018,1703
93664,12646,2585259,2586019,2460
93665,9379,2585278,2586019,1876
93666,13329,2585259,2586021,2580
93667,10063,2585278,2586021,1996
93668,11557,2585259,2586022,2181
93669,8550,2585278,2586022,1730
93670,12807,2585259,2586024,2460
93671,9801,2585278,2586024,2009
93672,14908,2585259,2586026,2920
93673,11641,2585278,2586026,2336
93674,14970,2585259,2585804,2931
93675,9044,2585259,2585344,1903
93676,11868,2585278,2585804,2384
93677,10419,2585278,2585344,2162
93678,9115,2585288,3454384,1776
93679,14046,2585288,2586044,2779
93680,5880,2585288,2586268,1227
93681,5429,2585288,2585971,1066
93682,5767,2585288,2586270,1123
93683,14863,2585288,3559966,3213
93684,5224,2585288,4215025,1145
93685,6462,2585288,4393742,1405
93686,9973,2585288,4585378,2224
93687,12290,2585288,4729149,2506
93688,10317,2585288,4807340,2105
93689,7547,2585288,2586000,1509
93690,9169,2585288,4807350,1915
93691,7253,2585288,4807395,1555
93692,6120,2585288,4807401,1308
93693,4773,2585288,4807409,1005
93694,14640,2585288,5291649,3218
93695,13316,2585288,5291656,2921
93696,20145,2585288,5291665,4291
93697,21018,2585288,5291667,4416
93698,21444,2585288,6860417,4548
93699,24644,2585288,6903044,5143
93700,2561,2585288,3470029,458
93701,8341,2585288,4807388,1723
93702,6797,2585288,2585997,1449
93703,3735,2585278,2585342,843
